Date,ibm ,ibm-cloud ,ibm-granite ,ibm-granite-community ,ds4sd ,ibm-aiu
2025-05-23,6080 ,140 ,23 ,64 ,25 ,7
2025-05-24,6084 ,140 ,23 ,64 ,25 ,7
2025-05-25,6085 ,140 ,23 ,64 ,25 ,7
2025-05-26,6088 ,140 ,23 ,64 ,25 ,7
2025-05-27,6094 ,140 ,23 ,64 ,25 ,7
2025-05-28,6102 ,140 ,23 ,65 ,25 ,7
2025-05-29,5754 ,140 ,23 ,67 ,25 ,7
2025-05-30,5773 ,48 ,17 ,35 ,25 ,7
2025-05-31,5781 ,48 ,16 ,35 ,25 ,7
2025-06-01,5782 ,48 ,16 ,35 ,25 ,7
2025-06-02,5785 ,48 ,16 ,35 ,25 ,7
2025-06-03,5794 ,48 ,16 ,35 ,25 ,7
2025-06-04,5810 ,49 ,16 ,35 ,18 ,7
2025-06-05,5820 ,49 ,16 ,35 ,18 ,6
2025-06-06,5823 ,49 ,17 ,35 ,18 ,6
2025-06-07,5825 ,50 ,17 ,35 ,18 ,6
2025-06-08,5825 ,50 ,17 ,35 ,18 ,6
2025-06-09,5827 ,50 ,17 ,35 ,18 ,6
2025-06-10,5836 ,50 ,17 ,35 ,18 ,6
2025-06-11,5840 ,49 ,18 ,35 ,18 ,6
2025-06-12,5848 ,49 ,17 ,35 ,18 ,6
2025-06-13,5853 ,49 ,17 ,35 ,18 ,6
2025-06-14,5858 ,49 ,17 ,35 ,18 ,6
2025-06-15,5859 ,49 ,17 ,35 ,18 ,6
2025-06-16,5883 ,49 ,17 ,35 ,18 ,6
2025-06-17,5900 ,49 ,17 ,35 ,18 ,6
2025-06-18,5904 ,49 ,17 ,35 ,18 ,6
2025-06-19,5918 ,49 ,17 ,35 ,18 ,6
2025-06-20,5919 ,49 ,17 ,35 ,18 ,6
2025-06-21,5921 ,49 ,17 ,35 ,18 ,6
2025-06-22,5919 ,49 ,17 ,35 ,18 ,6
2025-06-23,5921 ,49 ,17 ,35 ,18 ,6
2025-06-24,5925 ,49 ,17 ,35 ,18 ,6
2025-06-25,5931 ,49 ,18 ,35 ,18 ,6
2025-06-26,5937 ,49 ,19 ,35 ,18 ,6
2025-06-27,5938 ,49 ,18 ,35 ,18 ,6
2025-06-28,5940 ,49 ,18 ,35 ,18 ,6
2025-06-29,5940 ,49 ,18 ,35 ,18 ,6
2025-06-30,5940 ,49 ,18 ,35 ,18 ,6
2025-07-01,5939 ,49 ,18 ,35 ,18 ,6
2025-07-02,5944 ,49 ,18 ,35 ,18 ,6
2025-07-03,5954 ,49 ,20 ,35 ,18 ,6
2025-07-04,5959 ,49 ,20 ,35 ,18 ,6
2025-07-05,5960 ,49 ,20 ,35 ,18 ,6
2025-07-06,5960 ,49 ,20 ,35 ,18 ,6
2025-07-07,5962 ,49 ,20 ,35 ,18 ,6
2025-07-08,5972 ,49 ,20 ,35 ,18 ,6
2025-07-09,5986 ,49 ,18 ,35 ,18 ,6
2025-07-10,5997 ,49 ,18 ,35 ,18 ,6
2025-07-11,6006 ,49 ,19 ,35 ,18 ,6
2025-07-12,6006 ,49 ,19 ,35 ,18 ,6
2025-07-13,6005 ,49 ,19 ,35 ,18 ,6
2025-07-14,6010 ,49 ,19 ,35 ,18 ,6
2025-07-15,6019 ,49 ,19 ,35 ,18 ,6
2025-07-16,6028 ,49 ,19 ,35 ,18 ,6
2025-07-17,6031 ,49 ,19 ,35 ,18 ,6
2025-07-18,6033 ,49 ,19 ,35 ,18 ,6
2025-07-19,6035 ,49 ,19 ,35 ,18 ,6
2025-07-20,6035 ,49 ,19 ,35 ,18 ,6
2025-07-21,6038 ,49 ,19 ,35 ,18 ,6
2025-07-22,6044 ,49 ,19 ,35 ,18 ,6
2025-07-23,6051 ,49 ,19 ,35 ,18 ,6
2025-07-24,6058 ,50 ,19 ,35 ,18 ,6
2025-07-25,6069 ,50 ,19 ,35 ,18 ,6
2025-07-26,6074 ,50 ,19 ,35 ,18 ,6
2025-07-27,6075 ,50 ,19 ,35 ,18 ,6
2025-07-28,6083 ,50 ,19 ,35 ,18 ,6
2025-07-29,6085 ,50 ,19 ,35 ,18 ,6
2025-07-30,6091 ,50 ,19 ,35 ,18 ,6
2025-07-31,6095 ,50 ,19 ,35 ,18 ,6
2025-08-01,6098 ,50 ,19 ,35 ,18 ,6
2025-08-02,6100 ,50 ,19 ,35 ,18 ,6
2025-08-03,6100 ,50 ,19 ,35 ,18 ,6
2025-08-04,6100 ,50 ,19 ,35 ,18 ,6
2025-08-05,6102 ,50 ,19 ,35 ,18 ,6
2025-08-06,6106 ,50 ,19 ,35 ,18 ,6
2025-08-07,6114 ,50 ,19 ,35 ,18 ,6
2025-08-08,6116 ,50 ,19 ,35 ,18 ,6
2025-08-09,6120 ,50 ,19 ,35 ,18 ,6
2025-08-10,6121 ,50 ,19 ,35 ,18 ,6
2025-08-11,6124 ,50 ,19 ,35 ,18 ,6
2025-08-12,6131 ,50 ,19 ,35 ,18 ,6
2025-08-13,6138 ,50 ,19 ,35 ,18 ,6
2025-08-14,6142 ,50 ,19 ,35 ,18 ,6
2025-08-15,6144 ,50 ,19 ,35 ,18 ,6
2025-08-16,6146 ,50 ,19 ,35 ,18 ,6
2025-08-17,6145 ,50 ,19 ,35 ,18 ,6
2025-08-18,6148 ,50 ,19 ,35 ,18 ,6
2025-08-19,6152 ,50 ,19 ,35 ,18 ,6
2025-08-20,6155 ,50 ,19 ,35 ,18 ,6
2025-08-21,6157 ,50 ,19 ,35 ,18 ,6
2025-08-22,6157 ,50 ,19 ,35 ,18 ,6
2025-08-22,6158 ,50 ,19 ,35 ,18 ,6
2025-08-23,6159 ,50 ,19 ,35 ,18 ,6
2025-08-23,6159 ,50 ,19 ,35 ,18 ,6
2025-08-24,6159 ,50 ,19 ,35 ,18 ,6
2025-08-24,6159 ,50 ,19 ,35 ,18 ,6
2025-08-25,6160 ,50 ,19 ,35 ,18 ,6
2025-08-25,6162 ,50 ,19 ,35 ,18 ,6
2025-08-26,5989 ,50 ,19 ,35 ,18 ,6
2025-08-26,6002 ,50 ,19 ,35 ,18 ,6
2025-08-27,6010 ,49 ,16 ,35 ,18 ,6
2025-08-27,6014 ,49 ,16 ,35 ,17 ,6
2025-08-28,6018 ,49 ,16 ,35 ,17 ,6
2025-08-28,6021 ,49 ,16 ,35 ,17 ,6
2025-08-29,6024 ,49 ,16 ,33 ,17 ,6
2025-08-29,6024 ,49 ,16 ,33 ,17 ,6
2025-08-30,6026 ,49 ,16 ,33 ,17 ,6
2025-08-30,6026 ,49 ,16 ,33 ,17 ,6
2025-08-31,6027 ,49 ,16 ,33 ,17 ,6
2025-08-31,6018 ,49 ,16 ,33 ,17 ,6
2025-09-01,6018 ,49 ,16 ,33 ,17 ,6
2025-09-01,6020 ,49 ,16 ,33 ,17 ,6
2025-09-02,6020 ,49 ,16 ,33 ,17 ,6
2025-09-02,6022 ,49 ,16 ,33 ,17 ,6
2025-09-03,6020 ,49 ,16 ,33 ,17 ,6
2025-09-03,6019 ,49 ,16 ,33 ,17 ,6
2025-09-04,6022 ,49 ,16 ,33 ,17 ,6
2025-09-04,6025 ,49 ,16 ,33 ,17 ,6
2025-09-05,6024 ,49 ,16 ,33 ,17 ,6
2025-09-05,6012 ,49 ,16 ,33 ,17 ,6
2025-09-06,6026 ,49 ,16 ,33 ,17 ,6
2025-09-06,6026 ,49 ,16 ,33 ,17 ,6
2025-09-07,6024 ,49 ,16 ,33 ,17 ,6
2025-09-07,6022 ,49 ,16 ,33 ,17 ,6
2025-09-08,6030 ,49 ,16 ,33 ,17 ,6
2025-09-08,6039 ,49 ,16 ,33 ,17 ,6
2025-09-09,6049 ,49 ,16 ,33 ,17 ,6
2025-09-09,6055 ,49 ,16 ,33 ,17 ,6
2025-09-10,6063 ,49 ,16 ,33 ,17 ,6
2025-09-10,6066 ,49 ,16 ,33 ,17 ,6
2025-09-11,6079 ,49 ,16 ,33 ,17 ,6
2025-09-11,6090 ,49 ,16 ,33 ,17 ,6
2025-09-12,6090 ,50 ,16 ,33 ,17 ,6
2025-09-12,6089 ,50 ,16 ,33 ,17 ,6
2025-09-13,6092 ,49 ,16 ,33 ,17 ,6
2025-09-13,6093 ,49 ,16 ,33 ,17 ,6
2025-09-14,6091 ,49 ,16 ,33 ,17 ,6
2025-09-14,6087 ,49 ,16 ,33 ,17 ,6
2025-09-15,6087 ,49 ,16 ,33 ,17 ,6
2025-09-15,6088 ,49 ,16 ,33 ,17 ,6
2025-09-16,6091 ,49 ,16 ,34 ,17 ,6
2025-09-16,6091 ,49 ,16 ,34 ,17 ,6
2025-09-17,6097 ,49 ,13 ,34 ,17 ,6
2025-09-17,6097 ,49 ,13 ,34 ,17 ,6
2025-09-18,6102 ,50 ,13 ,34 ,17 ,6
2025-09-18,6105 ,50 ,13 ,34 ,17 ,6
2025-09-19,6113 ,50 ,13 ,34 ,17 ,6
2025-09-19,6115 ,50 ,13 ,34 ,17 ,6
2025-09-20,6116 ,50 ,13 ,34 ,17 ,6
2025-09-20,6116 ,50 ,13 ,34 ,17 ,6
2025-09-21,6115 ,50 ,13 ,34 ,17 ,6
2025-09-21,6113 ,50 ,13 ,34 ,17 ,6
2025-09-22,6114 ,50 ,13 ,34 ,17 ,6
2025-09-22,6116 ,50 ,13 ,34 ,17 ,6
2025-09-23,6126 ,50 ,13 ,34 ,17 ,6
2025-09-23,6128 ,50 ,13 ,34 ,17 ,6
2025-09-24,6133 ,50 ,13 ,34 ,17 ,6
2025-09-24,6134 ,50 ,13 ,34 ,17 ,6
2025-09-25,6138 ,50 ,13 ,35 ,17 ,6
2025-09-25,6139 ,50 ,13 ,35 ,17 ,6
2025-09-26,6143 ,50 ,13 ,35 ,17 ,6
2025-09-26,6145 ,50 ,13 ,35 ,17 ,6
2025-09-27,6147 ,50 ,13 ,35 ,17 ,6
2025-09-27,6147 ,50 ,13 ,35 ,17 ,6
2025-09-28,6146 ,50 ,13 ,35 ,17 ,6
2025-09-28,6146 ,50 ,13 ,35 ,17 ,6
2025-09-29,6146 ,50 ,13 ,35 ,17 ,6
2025-09-29,6148 ,50 ,13 ,35 ,17 ,6
2025-09-30,6150 ,50 ,13 ,35 ,17 ,6
2025-09-30,6150 ,50 ,13 ,35 ,17 ,6
2025-10-01,6153 ,52 ,13 ,35 ,17 ,6
2025-10-01,6149 ,52 ,13 ,35 ,17 ,6
2025-10-02,6153 ,52 ,13 ,35 ,17 ,6
2025-10-02,6157 ,52 ,13 ,35 ,17 ,6
2025-10-03,6147 ,52 ,13 ,35 ,17 ,6
2025-10-03,6146 ,52 ,13 ,35 ,17 ,6
2025-10-04,6149 ,52 ,13 ,35 ,17 ,6
2025-10-04,6149 ,52 ,13 ,35 ,17 ,6
2025-10-05,6150 ,52 ,13 ,35 ,17 ,6
2025-10-05,6147 ,52 ,13 ,35 ,17 ,6
2025-10-06,6147 ,52 ,13 ,35 ,17 ,6
2025-10-06,6153 ,52 ,13 ,35 ,17 ,6
2025-10-07,6155 ,52 ,13 ,35 ,17 ,6
2025-10-07,6156 ,52 ,13 ,35 ,17 ,6
2025-10-08,6156 ,52 ,13 ,35 ,17 ,6
2025-10-08,6158 ,52 ,13 ,35 ,17 ,6
2025-10-09,6162 ,52 ,13 ,35 ,17 ,6
2025-10-09,6165 ,52 ,13 ,35 ,17 ,6
2025-10-10,6165 ,52 ,13 ,35 ,17 ,6
2025-10-10,6168 ,52 ,13 ,35 ,17 ,6
2025-10-11,6171 ,52 ,13 ,35 ,17 ,6
2025-10-11,6171 ,52 ,13 ,35 ,17 ,6
2025-10-12,6171 ,52 ,13 ,35 ,17 ,6
2025-10-12,6162 ,52 ,13 ,35 ,17 ,6
2025-10-13,6162 ,52 ,13 ,35 ,17 ,6
2025-10-13,6163 ,52 ,13 ,35 ,17 ,6
2025-10-14,6166 ,52 ,13 ,35 ,17 ,6
2025-10-14,6171 ,52 ,13 ,35 ,17 ,6
2025-10-15,6178 ,52 ,13 ,35 ,17 ,6
2025-10-15,6173 ,52 ,13 ,35 ,17 ,6
2025-10-16,6175 ,52 ,13 ,35 ,17 ,6
2025-10-16,6175 ,52 ,13 ,35 ,17 ,6
2025-10-17,6176 ,52 ,13 ,35 ,17 ,6
2025-10-17,6171 ,52 ,13 ,35 ,17 ,6
2025-10-18,6174 ,52 ,13 ,35 ,17 ,6
2025-10-18,6174 ,52 ,13 ,35 ,17 ,6
2025-10-19,6141 ,52 ,13 ,35 ,17 ,6
2025-10-19,6132 ,52 ,13 ,35 ,17 ,6
2025-10-20,6132 ,52 ,13 ,35 ,17 ,6
2025-10-20,6137 ,52 ,13 ,35 ,17 ,6
2025-10-21,6143 ,52 ,13 ,35 ,17 ,6
2025-10-21,6148 ,52 ,13 ,35 ,17 ,6
